ts,date,time,lat,lon
1767484563000,2026-01-04,10:56:03,-37.820431491205255,145.24601456280905
1767489858000,2026-01-04,12:24:18,-37.82040346062141,145.2460501348216
1767494994000,2026-01-04,13:49:54,-37.82043504538031,145.24601663473513
1767495817000,2026-01-04,14:03:37,-37.82031705083666,145.24610632886748
1767498239000,2026-01-04,14:43:59,-37.82037704070595,145.24607498596697
1767500081000,2026-01-04,15:14:41,-37.82042370174202,145.246028409559
1767501021000,2026-01-04,15:30:21,-37.82033439661315,145.24611740437035
1767501021000,2026-01-04,15:30:21,-37.82041468077785,145.24603739918993
1767505268000,2026-01-04,16:41:08,-37.820049831068026,145.2462817871025
1767505268000,2026-01-04,16:41:08,-37.820233030910764,145.24616127097144
1767506433000,2026-01-04,17:00:33,-37.82038536066636,145.2460703014212
1767506699000,2026-01-04,17:04:59,-37.820087289693085,145.24629101232628
1767507174000,2026-01-04,17:12:54,-37.820204909857466,145.24618679718463
1767507560000,2026-01-04,17:19:20,-37.82037238513945,145.24608846540642
1767510590000,2026-01-04,18:09:50,-37.820247117735605,145.24618676819756
1767511959000,2026-01-04,18:32:39,-37.81852906479751,145.24272883050966
